year,month,week,name,articles,facebook,googleplus,twitter
2011,12,50,holly thomas,9,1165,3,182
2011,12,50,leon watson,19,3006,21,211
2011,12,50,sportsmail reporter,164,3555,20,633
2011,12,50,kerry mcqueeney,5,940,10,45
2011,12,50,chris moncrieff,1,0,0,0
2011,12,50,sarah bull,11,2931,12,158
2011,12,50,michael zennie,4,611,4,27
2011,12,50,richard hartley-parkinson,2,47,1,11
2011,12,50,daily mail,3,14,0,3
2011,12,50,sean poulter,10,204,12,158
2011,12,50,daily mail reporter,214,41271,391,3449
2011,12,50,peter allen,4,76,2,21
2011,12,50,travelmail reporter,7,504,3,81
2011,12,50,emily allen,10,515,3,30
2011,12,50,meghan keneally,5,569,3,38
2011,12,50,kirsty mccormack,9,511,8,75
2011,12,50,emily sheridan,2,44,0,16
2011,12,50,ed monk,3,9,0,3
2011,12,50,ross clark,1,0,0,4
2011,12,50,andrew oxlade,1,9,0,1
2011,12,50,nadia gilani,7,872,4,58
2011,12,50,abigail butcher,1,6,0,4
2011,12,50,nigel colborn,1,0,1,2
2011,12,50,simon tomlinson,3,135,1,24
2011,12,50,ian lyall,2,0,0,0
2011,12,50,proactive investors,1,0,0,0
2011,12,50,anna hodgekiss,1,74,0,6
2011,12,50,amelia proud,4,79,1,14
2011,12,50,roger baird,1,0,0,0
2011,12,50,adrian lowery,3,2,0,1
2011,12,50,rob waugh,13,2530,145,463
2011,12,50,ian ladyman,3,86,1,21
2011,12,50,marcus townend,2,1,0,0
2011,12,50,jeff powell,2,18,0,6
2011,12,50,lois rogers,1,69,1,10
2011,12,50,sophie borland,6,932,8,121
2011,12,50,gareth finighan,3,343,3,69
2011,12,50,andrea magrath,9,711,7,51
2011,12,50,mike larkin,9,431,4,78
2011,12,50,james slack,3,184,1,31
2011,12,50,georgina littlejohn,11,596,6,119
2011,12,50,dan hyde,4,0,0,3
2011,12,50,sam turner,5,0,0,2
2011,12,50,ted thornhill,10,4535,321,1116
2011,12,50,mark duell,18,3783,110,567
2011,12,50,rob cooper,10,525,3,95
2011,12,50,charles sale,3,2,0,6
2011,12,50,louise boyle,2,874,14,103
2011,12,50,tim shipman,4,200,2,35
2011,12,50,mac,4,240,1,3
2011,12,50,martyn cox,1,0,1,0
2011,12,50,stephen womack,2,2,0,7
2011,12,50,harry glass,6,14,0,4
2011,12,50,nick wood,4,253,1,21
2011,12,50,sarah fitzmaurice,13,1283,18,267
2011,12,50,michael hanlon,1,19,0,8
2011,12,50,daisy dumas,10,1049,11,203
2011,12,50,paul thompson,2,72,0,9
2011,12,50,associated press,20,1229,9,120
2011,12,50,lucy elkins,1,14,0,5
2011,12,50,michael glackin,4,5,0,0
2011,12,50,antonia hoyle,1,34,0,7
2011,12,50,etain lavelle,2,2,0,3
2011,12,50,jason groves,4,381,10,79
2011,12,50,martin domin,2,3,1,6
2011,12,50,liz jones,1,125,1,56
2011,12,50,louise eccles,3,143,1,52
2011,12,50,steve doughty,3,58,3,22
2011,12,50,chris murphy,1,205,3,45
2011,12,50,patricia ramos,2,29,1,3
2011,12,50,matt barlow,3,252,0,47
2011,12,50,dominic king,3,189,0,15
2011,12,50,jo waters,1,171,1,27
2011,12,50,lydia warren,3,104,0,10
2011,12,50,rebecca camber,3,178,1,35
2011,12,50,ian griggs,1,3,0,9
2011,12,50,mike o'brien,3,2839,6,121
2011,12,50,nadia mendoza,12,1753,19,155
2011,12,50,ben todd,3,111,4,29
2011,12,50,lauren paxman,10,1445,9,258
2011,12,50,maysa rawi,4,569,4,86
2011,12,50,doree lewak,1,20,1,7
2011,12,50,thomas durante,1,16,0,3
2011,12,50,daily mail comment,2,0,0,0
2011,12,50,max hastings,1,38,3,11
2011,12,50,ian drury,2,170,1,11
2011,12,50,matt lawton,3,73,1,10
2011,12,50,this is money reporter,5,16,0,4
2011,12,50,jade watkins,5,137,0,8
2011,12,50,lucy buckland,8,589,6,68
2011,12,50,peter scudamore,1,1,0,0
2011,12,50,matthew barbour,1,220,3,30
2011,12,50,jessica satherley,1,22,0,12
2011,12,50,sami mokbel,6,734,3,71
2011,12,50,david kent,3,2,0,3
2011,12,50,alexander boot,1,0,0,0
2011,12,50,rob davies,4,1,0,2
2011,12,50,chris wheeler,4,134,1,32
2011,12,50,chris foy,3,11,1,6
2011,12,50,katherine faulkner,1,0,0,0
2011,12,50,neil ashton,3,227,3,351
2011,12,50,nick enoch,2,995,5,78
2011,12,50,chris parsons,5,238,1,28
2011,12,50,chris brooke,3,750,1,75
2011,12,50,chris johnson,5,217,4,25
2011,12,50,emma reynolds,10,2076,12,138
2011,12,50,neil wilson,1,18,0,5
2011,12,50,dan newling,1,47,0,9
2011,12,50,anthony bond,3,725,5,39
2011,12,50,david gardner,1,23,0,4
2011,12,50,rachel marlowe,4,233,2,46
2011,12,50,gavin allen,8,4547,24,261
2011,12,50,richard shears,1,90,0,15
2011,12,50,charles walford,6,265,0,33
2011,12,50,claire bates,7,526,7,135
2011,12,50,tara evans,3,4,0,5
2011,12,50,colin young,4,45,1,7
2011,12,50,hugo duncan,5,44,0,22
2011,12,50,sadie whitelocks,6,437,11,73
2011,12,50,philip duncan,1,62,0,20
2011,12,50,david richards,5,133,3,38
2011,12,50,david august,1,0,0,0
2011,12,50,luke salkeld,1,149,3,40
2011,12,50,daniel martin,4,202,4,57
2011,12,50,lee moran,4,484,9,74
2011,12,50,ephraim hardcastle,1,0,0,1
2011,12,50,alanah eriksen,8,330,6,68
2011,12,50,richard kay,2,35,1,7
2011,12,50,mel henderson,1,222,0,49
2011,12,50,sara nathan,5,505,2,107
2011,12,50,chris slack,7,548,16,74
2011,12,50,rupert steiner,3,20,0,1
2011,12,50,sandra parsons,1,18,0,6
2011,12,50,tony hazell,3,17,0,7
2011,12,50,jack doyle,2,35,0,21
2011,12,50,nina golgowski,7,819,17,34
2011,12,50,robert hardman,1,30,0,16
2011,12,50,paul harris,2,5929,15,227
2011,12,50,louette harding,1,230,0,0
2011,12,50,this is money,3,0,0,1
2011,12,50,money mail,1,0,0,2
2011,12,50,colin fernandez,2,52,2,20
2011,12,50,dan ripley,4,159,3,37
2011,12,50,ruth sunderland,4,7,0,3
2011,12,50,eleanor gower,5,76,2,16
2011,12,50,sylvia morris,2,0,0,0
2011,12,50,beth stebner,5,364,2,36
2011,12,50,rachel quigley,5,124,8,14
2011,12,50,stephen mcgowan,2,9,0,0
2011,12,50,david wilkes,2,0,0,3
2011,12,50,stuart husband,2,26,0,1
2011,12,50,michael burleigh,2,59,6,3
2011,12,50,catherine o'brien,1,0,0,0
2011,12,50,julia samuel,1,0,0,0
2011,12,50,simon caldwell,1,762,9,91
2011,12,50,lee boyce,2,44,0,9
2011,12,50,sam dunn,1,1,0,1
2011,12,50,andy dolan,2,38544,57,2187
2011,12,50,lauren thompson,1,9,0,4
2011,12,50,john mcgarry,1,3,0,3
2011,12,50,jack davidson,1,17,3,9
2011,12,50,james salmon,1,9,0,1
2011,12,50,richard waghorne,1,13,0,9
2011,12,50,mail foreign service,1,103,0,13
2011,12,50,melanie phillips,1,3,1,2
2011,12,50,mary ellen synon,1,0,0,9
2011,12,50,christopher booker,1,0,1,0
2011,12,50,nick pisa,3,1873,19,163
2011,12,50,wil longbottom,7,9687,190,553
2011,12,50,reuters reporter,2,1,0,2
2011,12,50,nicole lampert,1,9,0,11
2011,12,50,chris hall,1,3,0,3
2011,12,50,tessa cunningham,1,0,0,0
2011,12,50,deborah arthurs,3,393,3,53
2011,12,50,hannah roberts,3,166,4,21
2011,12,50,graham chadwick,1,24,0,7
2011,12,50,sonia poulton,2,760,2,152
2011,12,50,elliot wagland,2,7,0,3
2011,12,50,martin samuel,2,95,1,15
2011,12,50,becky barrow,4,850,5,110
2011,12,50,annie bell,3,3,0,0
2011,12,50,eliza scarborough,1,0,0,0
2011,12,50,manfreda cavazza,1,0,0,0
2011,12,50,hugo gye,3,313,9,66
2011,12,50,louise gannon,1,74,0,43
2011,12,50,quentin letts,4,40,1,18
2011,12,50,jamie dettmer,2,7,0,2
2011,12,50,george pitcher,1,7,0,4
2011,12,50,catherine ostler,1,422,4,29
2011,12,50,piers hernu,1,0,0,0
2011,12,50,paula kerr,1,22,0,1
2011,12,50,paul newman,2,4,0,6
2011,12,50,james white,3,162,0,13
2011,12,50,zoe brennan,2,33,2,7
2011,12,50,daniel bates,1,37,2,7
2011,12,50,jenny hope,3,103,2,21
2011,12,50,alex godfrey,1,53,1,4
2011,12,50,david simpson,1,2,0,5
2011,12,50,fiona macrae,2,148,2,24
2011,12,50,daniel miller,2,56,0,6
2011,12,50,katie silver,1,20,0,10
2011,12,50,angela mason,1,1,0,0
2011,12,50,james chapman,5,1295,22,121
2011,12,50,leo spall,1,0,0,0
2011,12,50,live reporter,1,1,0,0
2011,12,50,diana appleyard,1,40,0,12
2011,12,50,elsa mcalonan,1,21,0,16
2011,12,50,john edwards,1,28,0,3
2011,12,50,damien gayle,5,560,23,68
2011,12,50,alan biggs,1,0,0,3
2011,12,50,linda blair,1,0,0,1
2011,12,50,kirsty walker,2,47,1,32
2011,12,50,laura schreffler,8,529,5,105
2011,12,50,j j anisiobi,10,362,7,68
2011,12,50,helen carroll,1,520,9,62
2011,12,50,leah simpson,2,68,4,9
2011,12,50,mark wilson,1,5,0,22
2011,12,50,laura williamson,1,35,1,2
2011,12,50,ruth lythe,2,62,1,12
2011,12,50,will stewart,1,366,3,44
2011,12,50,nick metcalfe,3,9,0,6
2011,12,50,greg walton,1,0,0,0
2011,12,50,sunil vijayakar,1,13,0,0
2011,12,50,rebecca seales,2,203,2,30
2011,12,50,chris tookey,1,5,1,5
2011,12,50,benji wilson,1,1,0,0
2011,12,50,alex wood,1,0,0,3
2011,12,50,sarah harris,2,5,0,1
2011,12,50,sally brompton,1,0,0,0
2011,12,50,rik sharma,2,1362,8,151
2011,12,50,jim wight,1,53,1,5
2011,12,50,derek lawrenson,2,1,0,0
2011,12,50,allan hall,2,36,1,8
2011,12,50,sam greenhill,1,13,0,2
