year,month,week,name,articles,facebook,googleplus,twitter
2012,1,52,david wilkes,3,427,4,67
2012,1,52,daily mail reporter,120,18261,317,2160
2012,1,52,sportsmail reporter,161,5159,49,1248
2012,1,52,jade watkins,16,594,10,131
2012,1,52,alanah eriksen,15,385,10,147
2012,1,52,sadie whitelocks,7,662,8,85
2012,1,52,thomas fleming,1,4,0,2
2012,1,52,chris wheeler,5,56,1,27
2012,1,52,gavin allen,1,1,0,2
2012,1,52,david gerges,4,70,2,27
2012,1,52,sean poulter,3,13,0,6
2012,1,52,roger dobson,2,68,0,13
2012,1,52,alexander boot,4,38,0,6
2012,1,52,anna edwards,11,1008,11,143
2012,1,52,york membery,1,3,0,1
2012,1,52,anna hodgekiss,1,34,9,9
2012,1,52,leah simpson,13,287,5,93
2012,1,52,matt barlow,1,15,2,2
2012,1,52,meghan keneally,4,509,12,214
2012,1,52,jane feinmann,1,41,11,22
2012,1,52,ian ladyman,5,323,6,65
2012,1,52,daniel martin,4,874,6,124
2012,1,52,this is money reporter,13,11,0,8
2012,1,52,neil hallam,1,0,0,1
2012,1,52,matthew kalman,1,367,6,40
2012,1,52,gareth finighan,2,295,8,67
2012,1,52,rebecca english,2,23,0,16
2012,1,52,leon watson,11,785,16,128
2012,1,52,rupert steiner,4,0,0,0
2012,1,52,nina golgowski,4,335,7,19
2012,1,52,katie silver,2,68,2,5
2012,1,52,chris foy,2,1,0,1
2012,1,52,tom leonard,2,1931,54,297
2012,1,52,jo waters,1,6,0,3
2012,1,52,mark wilson,2,1,0,0
2012,1,52,georgina littlejohn,8,210,1,43
2012,1,52,peta bee,1,19,1,8
2012,1,52,daily mail comment,2,10,0,6
2012,1,52,john edwards,5,56,1,24
2012,1,52,rob wildman,1,0,0,1
2012,1,52,amelia proud,15,409,12,107
2012,1,52,rob cooper,6,695,2,64
2012,1,52,simon heffer,1,48,1,8
2012,1,52,lucy laing,3,179,10,66
2012,1,52,sami mokbel,6,2149,27,315
2012,1,52,richard kay,2,18,0,3
2012,1,52,richard gibson,1,1,0,1
2012,1,52,daily mail,2,4,0,0
2012,1,52,dan ripley,1,4,0,6
2012,1,52,tim shipman,5,166,4,110
2012,1,52,kirsty mccormack,5,106,1,20
2012,1,52,paul sims,3,241,0,39
2012,1,52,jonathan mcevoy,1,14,0,7
2012,1,52,rick massey,1,4,0,0
2012,1,52,nick fagge,1,4,0,0
2012,1,52,paul newman,2,7,0,16
2012,1,52,alex kay,2,196,0,25
2012,1,52,craig mackenzie,9,314,6,66
2012,1,52,rachel marlowe,1,49,2,10
2012,1,52,richard littlejohn,2,135,1,90
2012,1,52,chloe lambert,1,56,2,27
2012,1,52,janine self,1,1,0,0
2012,1,52,emma reynolds,9,1823,19,208
2012,1,52,rob waugh,13,1048,82,477
2012,1,52,holly thomas,9,144,6,56
2012,1,52,david richards,6,405,4,46
2012,1,52,alex brummer,1,1,0,1
2012,1,52,jamie redknapp,1,5,1,6
2012,1,52,lee moran,9,1567,57,286
2012,1,52,lucy buckland,12,1243,16,232
2012,1,52,victoria wellman,8,659,7,134
2012,1,52,chris parsons,9,430,10,68
2012,1,52,damien gayle,10,788,41,249
2012,1,52,mary mcconnell,9,1489,24,162
2012,1,52,claire ellicott,1,87,2,9
2012,1,52,laura schreffler,10,108,2,139
2012,1,52,ivan speck,2,15,1,4
2012,1,52,louise boyle,2,126,9,38
2012,1,52,mark duell,11,1241,12,178
2012,1,52,sarah harris,1,10,0,5
2012,1,52,liz thomas,4,388,4,90
2012,1,52,harry mount,1,9,1,3
2012,1,52,marcus townend,3,163,4,26
2012,1,52,rebecca evans,3,197,5,58
2012,1,52,jan moir,1,87,0,39
2012,1,52,mail foreign service,2,73,0,13
2012,1,52,charles walford,6,574,9,78
2012,1,52,andrew alexander,1,6,0,0
2012,1,52,simon tomlinson,7,511,12,105
2012,1,52,mac,1,13,0,2
2012,1,52,david leafe,1,145,6,35
2012,1,52,dominic king,6,77,0,31
2012,1,52,joe ridge,1,6,1,0
2012,1,52,philippa tomson,1,66,1,23
2012,1,52,ian drury,1,107,3,21
2012,1,52,becky barrow,4,160,4,63
2012,1,52,lydia warren,3,199,1,38
2012,1,52,sonia poulton,1,238,1,15
2012,1,52,geoff foster,5,0,0,1
2012,1,52,peter scudamore,1,0,0,6
2012,1,52,daily mail reporters,1,0,0,0
2012,1,52,deborah arthurs,5,289,6,144
2012,1,52,michael zennie,5,160,2,17
2012,1,52,james tozer,1,68,1,11
2012,1,52,ephraim hardcastle,4,0,0,0
2012,1,52,andrea magrath,5,680,5,98
2012,1,52,associated press,14,349,32,68
2012,1,52,nadia mendoza,10,882,14,155
2012,1,52,travelmail reporter,6,55,2,39
2012,1,52,sara nathan,1,35,3,8
2012,1,52,andrew levy,1,21,0,14
2012,1,52,emily andrews,2,49,1,13
2012,1,52,pamela owen,3,1080,48,174
2012,1,52,richard shears,2,83,3,16
2012,1,52,graham chadwick,1,5,0,8
2012,1,52,anthony bond,9,1975,26,225
2012,1,52,sarah fitzmaurice,4,501,5,89
2012,1,52,nick enoch,2,19,0,15
2012,1,52,ed monk,1,2,0,0
2012,1,52,jill reilly,9,415,9,71
2012,1,52,steve doughty,4,175,7,132
2012,1,52,john stevens,2,1089,22,150
2012,1,52,ryan kisiel,1,6,0,0
2012,1,52,dominique jackson,1,2,0,2
2012,1,52,thomas durante,2,466,2,44
2012,1,52,rightminds,1,5,0,0
2012,1,52,stephen glover,1,25,0,16
2012,1,52,mike larkin,15,232,7,79
2012,1,52,claire bates,8,390,14,95
2012,1,52,this is money,1,2,0,3
2012,1,52,mike o'brien,1,0,0,0
2012,1,52,tamara cohen,1,23,0,16
2012,1,52,andrew pierce,2,418,9,62
2012,1,52,india sturgis,2,7,0,2
2012,1,52,nick wood,2,0,0,2
2012,1,52,dominic sandbrook,2,61,1,14
2012,1,52,jason groves,6,124,5,53
2012,1,52,jon wilde,1,15,1,8
2012,1,52,katherine baldwin,1,32,1,10
2012,1,52,rick dewsbury,6,616,18,113
2012,1,52,paul thompson,3,54,0,9
2012,1,52,graham smith,9,653,33,108
2012,1,52,leo spall,1,8,0,3
2012,1,52,ian sparks,2,189,2,44
2012,1,52,rachel quigley,6,1111,17,100
2012,1,52,rebecca camber,4,221,0,36
2012,1,52,keith gladdis,2,92,0,21
2012,1,52,jenny hope,2,45,0,19
2012,1,52,frances childs,2,68,0,23
2012,1,52,louise gannon,1,18,1,62
2012,1,52,hannah roberts,5,3013,35,350
2012,1,52,michael burleigh,1,2,0,3
2012,1,52,lorraine candy,1,3,0,0
2012,1,52,eliza scarborough,1,7,0,1
2012,1,52,jennifer madison,2,197,2,11
2012,1,52,liz jones,1,91,0,50
2012,1,52,paula kerr,1,0,0,0
2012,1,52,donna mcconnell,1,6,0,6
2012,1,52,jill foster,1,90,0,11
2012,1,52,tara evans,3,12,1,7
2012,1,52,ben todd,1,14,0,8
2012,1,52,mark hughes-morgan,1,2,0,2
2012,1,52,kerry mcqueeney,3,669,4,125
2012,1,52,will stewart,1,33,0,24
2012,1,52,liz hull,1,55,1,15
2012,1,52,katrin schumann,1,0,0,0
2012,1,52,stephen moss,2,14,0,10
2012,1,52,matt fortune,1,193,1,23
2012,1,52,katherine faulkner,1,323,7,46
2012,1,52,lee boyce,3,21,0,16
2012,1,52,richard hartley-parkinson,3,156,4,39
2012,1,52,tom utley,1,0,0,0
2012,1,52,ray massey,2,80,0,39
2012,1,52,tony rennell,1,0,1,0
2012,1,52,ruth sunderland,3,1,0,2
2012,1,52,neil moxley,2,38,1,22
2012,1,52,lauren libbert,2,37,1,11
2012,1,52,adrian thrills,1,95,2,12
2012,1,52,hannah rand,4,50,1,20
2012,1,52,sarah bull,8,133,6,27
2012,1,52,graham poll,1,5,0,1
2012,1,52,chris tookey,1,4,1,4
2012,1,52,this is money reporters,2,0,0,0
2012,1,52,luke salkeld,2,12,1,5
2012,1,52,nick metcalfe,2,103,1,8
