year,total_fem_obit,total_words,married_count,articles_containing_married/total_articles,married_uses/total_words,married_uses,founded_count,articles_containing_founded/total_articles,founded_uses/total_words,founded_uses,research_count,articles_containing_research/total_articles,research_uses/total_words,research_uses
1987,293,93494,54,0.184300341297,0.000770102894303,72,29,0.098976109215,0.00042783494128,40,22,0.0750853242321,0.000352963826556,33
1988,338,98204,53,0.156804733728,0.000682253268706,67,33,0.0976331360947,0.000478595576555,47,22,0.0650887573964,0.000397132499695,39
1989,415,119915,50,0.120481927711,0.000525372138598,63,39,0.0939759036145,0.000450318975941,54,29,0.0698795180723,0.000375265813284,45
1990,456,149492,97,0.212719298246,0.000869611751799,130,47,0.103070175439,0.000421427233564,63,35,0.0767543859649,0.0004348058759,65
1991,375,119066,79,0.210666666667,0.000848269027262,101,40,0.106666666667,0.00037794164581,45,32,0.0853333333333,0.000503922194413,60
1992,369,136511,87,0.235772357724,0.000842422954927,115,47,0.127371273713,0.000380921683967,52,38,0.10298102981,0.000424874185963,58
1993,320,120013,91,0.284375,0.000958229525135,115,38,0.11875,0.000358294518094,43,39,0.121875,0.000541607992467,65
1994,312,116375,66,0.211538461538,0.00071321160043,83,32,0.102564102564,0.000292158968851,34,37,0.11858974359,0.000515574650913,60
1995,327,135716,89,0.272171253823,0.000795779421734,108,37,0.113149847095,0.000338943087035,46,29,0.0886850152905,0.00037578472693,51
1996,329,163163,118,0.358662613982,0.000949970275124,155,47,0.142857142857,0.000324828545687,53,39,0.118541033435,0.000386116950534,63
1997,268,152117,108,0.402985074627,0.00094006587035,143,31,0.115671641791,0.000210364390568,32,42,0.15671641791,0.000493041540393,75
1998,263,174124,103,0.391634980989,0.000890170223519,155,42,0.15969581749,0.000281408651306,49,39,0.148288973384,0.000356068089408,62
1999,238,143830,90,0.378151260504,0.000827365639992,119,29,0.121848739496,0.000215532225544,31,31,0.13025210084,0.000368490579156,53
2000,235,148206,114,0.485106382979,0.00108632578978,161,30,0.127659574468,0.000249652510695,37,23,0.0978723404255,0.000249652510695,37
2001,232,156630,101,0.435344827586,0.000766136755411,120,34,0.146551724138,0.00025537891847,40,27,0.116379310345,0.000280916810317,44
2002,223,157607,114,0.511210762332,0.00104056291916,164,28,0.125560538117,0.000209381563002,33,26,0.116591928251,0.000298210104881,47
2003,193,126611,83,0.430051813472,0.00106625806604,135,24,0.124352331606,0.000236946236899,30,31,0.160621761658,0.000379113979038,48
2004,187,123912,77,0.411764705882,0.000815094583253,101,33,0.176470588235,0.000347020466137,43,15,0.0802139037433,0.000161404867971,20
2005,156,105244,68,0.435897435897,0.000836152179697,88,23,0.147435897436,0.000285051879442,30,22,0.141025641026,0.000323058796701,34
2006,193,158888,88,0.455958549223,0.000793011429435,126,28,0.145077720207,0.000239162177131,38,25,0.129533678756,0.000232868435628,37
