year,total_fem_obit,total_words,university_count,articles_containing_university/total_articles,university_uses/total_words,university_uses,professor_count,articles_containing_professor/total_articles,professor_uses/total_words,professor_uses,science_count,articles_containing_science/total_articles,science_uses/total_words,science_uses,laboratory_count,articles_containing_laboratory/total_articles,laboratory_uses/total_words,laboratory_uses,found_count,articles_containing_found/total_articles,found_uses/total_words,found_uses,dance_count,articles_containing_dance/total_articles,dance_uses/total_words,dance_uses,theater_count,articles_containing_theater/total_articles,theater_uses/total_words,theater_uses,choreographer_count,articles_containing_choreographer/total_articles,choreographer_uses/total_words,choreographer_uses,opera_count,articles_containing_opera/total_articles,opera_uses/total_words,opera_uses,sang_count,articles_containing_sang/total_articles,sang_uses/total_words,sang_uses,artist_count,articles_containing_artist/total_articles,artist_uses/total_words,artist_uses,gallery_count,articles_containing_gallery/total_articles,gallery_uses/total_words,gallery_uses,museum_count,articles_containing_museum/total_articles,museum_uses/total_words,museum_uses,exhibition_count,articles_containing_exhibition/total_articles,exhibition_uses/total_words,exhibition_uses,studied_count,articles_containing_studied/total_articles,studied_uses/total_words,studied_uses,curator_count,articles_containing_curator/total_articles,curator_uses/total_words,curator_uses,death_count,articles_containing_death/total_articles,death_uses/total_words,death_uses,experience_count,articles_containing_experience/total_articles,experience_uses/total_words,experience_uses,style_count,articles_containing_style/total_articles,style_uses/total_words,style_uses,ability_count,articles_containing_ability/total_articles,ability_uses/total_words,ability_uses,passion_count,articles_containing_passion/total_articles,passion_uses/total_words,passion_uses,major_count,articles_containing_major/total_articles,major_uses/total_words,major_uses,success_count,articles_containing_success/total_articles,success_uses/total_words,success_uses,starred_count,articles_containing_starred/total_articles,starred_uses/total_words,starred_uses,architect_count,articles_containing_architect/total_articles,architect_uses/total_words,architect_uses,cook_count,articles_containing_cook/total_articles,cook_uses/total_words,cook_uses
1987,293,93494,99,0.337883959044,0.00203221597108,190,25,0.0853242320819,0.000556185423664,52,3,0.0102389078498,4.2783494128e-05,4,0,0.0,0.0,0,20,0.0682593856655,0.00032087620596,30,12,0.0409556313993,0.000620360664855,58,26,0.0887372013652,0.000684535906047,64,5,0.0170648464164,0.00010695873532,10,17,0.0580204778157,0.000492010182472,46,10,0.0341296928328,0.00021391747064,20,13,0.0443686006826,0.000246005091236,23,9,0.0307167235495,0.000171133976512,16,10,0.0341296928328,0.000331572079492,31,3,0.0102389078498,4.2783494128e-05,4,34,0.116040955631,0.000417139067748,39,2,0.00682593856655,5.347936766e-05,5,43,0.146757679181,0.000566881297196,53,2,0.00682593856655,2.1391747064e-05,2,16,0.0546075085324,0.00021391747064,20,2,0.00682593856655,2.1391747064e-05,2,1,0.00341296928328,1.0695873532e-05,1,23,0.0784982935154,0.000331572079492,31,16,0.0546075085324,0.000181829850044,17,7,0.0238907849829,0.00010695873532,10,4,0.0136518771331,5.347936766e-05,5,2,0.00682593856655,7.48711147239e-05,7
1988,338,98204,107,0.316568047337,0.00197547961387,194,38,0.112426035503,0.000661887499491,65,10,0.0295857988166,0.000132377499898,13,3,0.00887573964497,4.07315384302e-05,4,20,0.0591715976331,0.00045822980734,45,9,0.0266272189349,0.00045822980734,45,30,0.0887573964497,0.000702619037921,69,2,0.00591715976331,2.03657692151e-05,2,12,0.0355029585799,0.000285120769011,28,7,0.0207100591716,0.000122194615291,12,16,0.0473372781065,0.000488778461162,48,6,0.0177514792899,0.000325852307442,32,28,0.0828402366864,0.000702619037921,69,7,0.0207100591716,0.000264754999796,26,29,0.085798816568,0.000386949615087,38,7,0.0207100591716,0.000122194615291,12,51,0.150887573964,0.000641521730276,63,7,0.0207100591716,8.14630768604e-05,8,11,0.0325443786982,0.000244389230581,24,3,0.00887573964497,5.09144230378e-05,5,2,0.00591715976331,2.03657692151e-05,2,16,0.0473372781065,0.000254572115189,25,7,0.0207100591716,0.000193474807543,19,12,0.0355029585799,0.000183291922936,18,3,0.00887573964497,5.09144230378e-05,5,2,0.00591715976331,3.05486538227e-05,3
1989,415,119915,145,0.349397590361,0.00220155943794,264,41,0.0987951807229,0.00060876454155,73,10,0.0240963855422,0.000133427844723,16,3,0.00722891566265,2.50177208856e-05,3,19,0.0457831325301,0.000225159487971,27,13,0.0313253012048,0.000291873410332,35,29,0.0698795180723,0.000617103781845,74,1,0.00240963855422,8.33924029521e-06,1,21,0.0506024096386,0.000450318975941,54,11,0.0265060240964,0.000225159487971,27,12,0.0289156626506,0.000166784805904,20,10,0.0240963855422,0.000100070883543,12,22,0.0530120481928,0.000483675937122,58,7,0.0168674698795,7.50531626569e-05,9,25,0.0602409638554,0.000241837968561,29,4,0.00963855421687,0.000100070883543,12,35,0.0843373493976,0.000366926572989,44,6,0.0144578313253,7.50531626569e-05,9,8,0.0192771084337,9.17316432473e-05,11,4,0.00963855421687,5.00354417713e-05,6,2,0.00481927710843,2.50177208856e-05,3,21,0.0506024096386,0.000225159487971,27,10,0.0240963855422,9.17316432473e-05,11,12,0.0289156626506,0.000116749364133,14,3,0.00722891566265,2.50177208856e-05,3,1,0.00240963855422,8.33924029521e-06,1
1990,456,149492,173,0.379385964912,0.00220078666417,329,47,0.103070175439,0.000628796189763,94,13,0.0285087719298,9.36504963476e-05,14,2,0.00438596491228,1.33786423354e-05,2,23,0.0504385964912,0.000214058277366,32,24,0.0526315789474,0.000294330131378,44,43,0.094298245614,0.000515077729912,77,2,0.00438596491228,2.00679635031e-05,3,24,0.0526315789474,0.000314398094881,47,16,0.0350877192982,0.000280951489043,42,27,0.0592105263158,0.000234126240869,35,7,0.015350877193,9.36504963476e-05,14,25,0.0548245614035,0.00026088352554,39,6,0.0131578947368,5.35145693415e-05,8,50,0.109649122807,0.000414737912397,62,3,0.00657894736842,4.01359270061e-05,6,79,0.173245614035,0.000715757364943,107,10,0.0219298245614,8.69611751799e-05,13,16,0.0350877192982,0.000193990313863,29,4,0.00877192982456,2.67572846708e-05,4,2,0.00438596491228,1.33786423354e-05,2,27,0.0592105263158,0.000267572846708,40,10,0.0219298245614,8.02718540123e-05,12,18,0.0394736842105,0.000200679635031,30,8,0.0175438596491,8.69611751799e-05,13,5,0.0109649122807,4.01359270061e-05,6
1991,375,119066,146,0.389333333333,0.00225085246838,268,45,0.12,0.000646700149497,77,14,0.0373333333333,0.000151176658324,18,3,0.008,2.51961097207e-05,3,27,0.072,0.000251961097207,30,15,0.04,0.000629902743016,75,38,0.101333333333,0.000915458653184,109,11,0.0293333333333,0.000159575361564,19,24,0.064,0.000319150723128,38,6,0.016,5.87909226815e-05,7,28,0.0746666666667,0.000327549426369,39,13,0.0346666666667,0.000142777955084,17,28,0.0746666666667,0.000655098852737,78,11,0.0293333333333,0.000117581845363,14,64,0.170666666667,0.000604706633296,72,4,0.0106666666667,3.35948129609e-05,4,71,0.189333333333,0.00076428199486,91,7,0.0186666666667,6.71896259218e-05,8,12,0.032,0.000151176658324,18,2,0.00533333333333,2.51961097207e-05,3,7,0.0186666666667,6.71896259218e-05,8,30,0.08,0.000319150723128,38,11,0.0293333333333,0.000100784438883,12,10,0.0266666666667,9.23857356424e-05,11,11,0.0293333333333,9.23857356424e-05,11,7,0.0186666666667,7.5588329162e-05,9
1992,369,136511,170,0.460704607046,0.00252726886478,345,48,0.130081300813,0.000644636695944,88,16,0.0433604336043,0.000161159173986,22,7,0.0189701897019,6.59287529943e-05,9,28,0.0758807588076,0.000212437092982,29,22,0.059620596206,0.000769168784933,105,39,0.105691056911,0.000673938363941,92,5,0.0135501355014,8.79050039924e-05,12,22,0.059620596206,0.000336969181971,46,14,0.0379403794038,0.000241738760979,33,25,0.0677506775068,0.000241738760979,33,20,0.0542005420054,0.000329643764971,45,31,0.0840108401084,0.000615335027946,84,11,0.029810298103,8.79050039924e-05,12,54,0.146341463415,0.000446850436961,61,4,0.0108401084011,5.12779189955e-05,7,91,0.246612466125,0.000717890865938,98,8,0.0216802168022,8.0579586993e-05,11,19,0.0514905149051,0.000153833756987,21,7,0.0189701897019,5.12779189955e-05,7,4,0.0108401084011,3.66270849968e-05,5,38,0.10298102981,0.000336969181971,46,18,0.0487804878049,0.000175810007985,24,12,0.0325203252033,0.00010988125499,15,6,0.0162601626016,5.86033359949e-05,8,9,0.0243902439024,0.000139182922988,19
1993,320,120013,147,0.459375,0.00242473732012,291,45,0.140625,0.000724921466841,87,12,0.0375,0.000108321598493,13,6,0.01875,5.83270145734e-05,7,23,0.071875,0.00022497562764,27,14,0.04375,0.000433286393974,52,50,0.15625,0.00104155383167,125,5,0.015625,5.83270145734e-05,7,23,0.071875,0.000608267437694,73,16,0.05,0.0002499729196,30,19,0.059375,0.00019997833568,24,6,0.01875,9.16567371868e-05,11,27,0.084375,0.000433286393974,52,3,0.009375,3.33297226134e-05,4,53,0.165625,0.000474948547241,57,2,0.00625,2.499729196e-05,3,86,0.26875,0.000916567371868,110,12,0.0375,9.99891678402e-05,12,16,0.05,0.000133318890454,16,5,0.015625,4.16621532667e-05,5,2,0.00625,1.66648613067e-05,2,31,0.096875,0.00027497021156,33,9,0.028125,0.000108321598493,13,15,0.046875,0.000208310766334,25,6,0.01875,4.99945839201e-05,6,1,0.003125,8.33243065335e-06,1
1994,312,116375,150,0.480769230769,0.00239742212675,279,39,0.125,0.000696025778733,81,11,0.0352564102564,0.000146079484425,17,5,0.0160256410256,4.29645542427e-05,5,25,0.0801282051282,0.000292158968851,34,16,0.0512820512821,0.000481203007519,56,47,0.150641025641,0.000893662728249,104,4,0.0128205128205,6.87432867884e-05,8,22,0.0705128205128,0.000360902255639,42,15,0.0480769230769,0.000197636949517,23,13,0.0416666666667,0.000146079484425,17,18,0.0576923076923,0.000300751879699,35,27,0.0865384615385,0.000584317937701,68,6,0.0192307692308,9.4522019334e-05,11,44,0.141025641026,0.000378088077336,44,11,0.0352564102564,0.000189044038668,22,74,0.237179487179,0.000816326530612,95,11,0.0352564102564,0.000111707841031,13,9,0.0288461538462,0.000111707841031,13,5,0.0160256410256,4.29645542427e-05,5,4,0.0128205128205,5.15574650913e-05,6,22,0.0705128205128,0.000214822771214,25,17,0.0544871794872,0.000171858216971,20,16,0.0512820512821,0.000146079484425,17,3,0.00961538461538,3.43716433942e-05,4,2,0.00641025641026,2.57787325456e-05,3
1995,327,135716,138,0.422018348624,0.00204102685019,277,35,0.107033639144,0.000493677974594,67,17,0.0519877675841,0.000191576527454,26,3,0.00917431192661,5.15782958531e-05,7,37,0.113149847095,0.000316838103098,43,23,0.0703363914373,0.000722096141943,98,45,0.137614678899,0.000663149518111,90,7,0.0214067278287,7.36832797902e-05,10,21,0.0642201834862,0.000316838103098,43,12,0.0366972477064,0.000125261575643,17,21,0.0642201834862,0.000198944855433,27,13,0.039755351682,0.000176839871496,24,34,0.103975535168,0.000626307878216,85,10,0.0305810397554,0.000110524919685,15,55,0.168195718654,0.000434731350762,59,2,0.00611620795107,1.4736655958e-05,2,90,0.275229357798,0.000847357717587,115,15,0.045871559633,0.000110524919685,15,14,0.0428134556575,0.000117893247664,16,1,0.00305810397554,7.36832797902e-06,1,11,0.0336391437309,8.10516077692e-05,11,35,0.107033639144,0.000309469775119,42,21,0.0642201834862,0.000198944855433,27,5,0.0152905198777,3.68416398951e-05,5,5,0.0152905198777,4.42099678741e-05,6,4,0.0122324159021,6.63149518111e-05,9
1996,329,163163,161,0.489361702128,0.0019183270717,313,39,0.118541033435,0.000441276514896,72,20,0.0607902735562,0.000189994055025,31,3,0.00911854103343,2.45153619387e-05,4,51,0.155015197568,0.000398374631503,65,34,0.103343465046,0.000520951441197,85,41,0.12462006079,0.000502564919743,82,12,0.0364741641337,9.193260727e-05,15,29,0.0881458966565,0.000398374631503,65,13,0.0395136778116,0.000147092171632,24,23,0.0699088145897,0.000159349852601,26,11,0.0334346504559,0.000122576809693,20,33,0.100303951368,0.000386116950534,63,9,0.0273556231003,6.12884048467e-05,10,55,0.16717325228,0.000361601588595,59,6,0.0182370820669,9.80614477547e-05,16,91,0.276595744681,0.000698687815252,114,16,0.048632218845,0.000110319128724,18,11,0.0334346504559,7.3546085816e-05,12,13,0.0395136778116,7.96749263007e-05,13,8,0.0243161094225,4.90307238773e-05,8,42,0.127659574468,0.000306442024233,50,19,0.0577507598784,0.000134834490663,22,15,0.0455927051672,0.000116447969209,19,7,0.0212765957447,4.90307238773e-05,8,2,0.00607902735562,1.22576809693e-05,2
1997,268,152117,116,0.432835820896,0.00148569850838,226,30,0.111940298507,0.000341842134673,52,21,0.0783582089552,0.000282677149825,43,7,0.0261194029851,5.91649848472e-05,9,48,0.179104477612,0.000374711570699,57,25,0.0932835820896,0.000479893765983,73,36,0.134328358209,0.000611371510088,93,10,0.0373134328358,9.20344208734e-05,14,20,0.0746268656716,0.000341842134673,52,12,0.044776119403,0.000170921067336,26,20,0.0746268656716,0.000157773292926,24,10,0.0373134328358,0.0001249038569,19,31,0.115671641791,0.000493041540393,75,11,0.0410447761194,9.86083080786e-05,15,50,0.186567164179,0.000381285457904,58,9,0.0335820895522,0.000118329969694,18,73,0.272388059701,0.000644240946114,98,9,0.0335820895522,5.91649848472e-05,9,22,0.0820895522388,0.000190642728952,29,7,0.0261194029851,4.60172104367e-05,7,13,0.0485074626866,0.000118329969694,18,38,0.141791044776,0.000315546585852,48,12,0.044776119403,7.88866464629e-05,12,6,0.0223880597015,5.25910976419e-05,8,7,0.0261194029851,4.60172104367e-05,7,9,0.0335820895522,9.20344208734e-05,14
1998,263,174124,126,0.479087452471,0.00165973673934,289,45,0.171102661597,0.000505386965611,88,22,0.0836501901141,0.000183777078404,32,4,0.0152091254753,2.87151685006e-05,5,44,0.167300380228,0.000315866853507,55,33,0.125475285171,0.000671934942914,117,38,0.144486692015,0.000447956628609,78,8,0.0304182509506,6.89164044015e-05,12,28,0.106463878327,0.000344582022007,60,14,0.0532319391635,0.000183777078404,32,26,0.0988593155894,0.000201006179504,35,19,0.0722433460076,0.000201006179504,35,34,0.12927756654,0.000534102134111,93,14,0.0532319391635,0.000120603707703,21,57,0.216730038023,0.000344582022007,60,5,0.0190114068441,5.74303370012e-05,10,81,0.307984790875,0.000551331235212,96,22,0.0836501901141,0.000155061909903,27,24,0.0912547528517,0.000172291011004,30,9,0.0342205323194,5.16873033011e-05,9,9,0.0342205323194,5.74303370012e-05,10,36,0.136882129278,0.000252693482805,44,29,0.110266159696,0.000206749213204,36,8,0.0304182509506,6.89164044015e-05,12,9,0.0342205323194,5.16873033011e-05,9,8,0.0304182509506,0.000103374606602,18
1999,238,143830,116,0.487394957983,0.0015643467983,225,22,0.0924369747899,0.000347632621845,50,19,0.0798319327731,0.000152958353612,22,6,0.0252100840336,8.34318292429e-05,12,39,0.163865546218,0.000368490579156,53,32,0.134453781513,0.000799555030244,115,41,0.172268907563,0.000834318292429,120,10,0.0420168067227,0.000104289786554,15,18,0.0756302521008,0.000319822012098,46,14,0.0588235294118,0.000166863658486,24,26,0.109243697479,0.000243342835292,35,11,0.046218487395,0.000152958353612,22,29,0.121848739496,0.000368490579156,53,10,0.0420168067227,9.03844816798e-05,13,51,0.214285714286,0.000424111798651,61,5,0.0210084033613,4.86685670583e-05,7,64,0.268907563025,0.000625738719321,90,16,0.0672268907563,0.000118195091427,17,19,0.0798319327731,0.000173816310923,25,10,0.0420168067227,6.9526524369e-05,10,10,0.0420168067227,8.34318292429e-05,12,38,0.159663865546,0.000361537926719,52,21,0.0882352941176,0.000159911006049,23,8,0.0336134453782,7.6479176806e-05,11,11,0.046218487395,0.00011124243899,16,3,0.0126050420168,3.47632621845e-05,5
2000,235,148206,98,0.417021276596,0.00128199937924,190,22,0.0936170212766,0.000263147241002,39,19,0.0808510638298,0.000188926224309,28,5,0.0212765957447,4.04841909234e-05,6,50,0.212765957447,0.000418336639542,62,27,0.114893617021,0.000485810291081,72,48,0.204255319149,0.000843420644238,125,11,0.0468085106383,0.000134947303078,20,18,0.0765957446809,0.000283389336464,42,9,0.0382978723404,0.000101210477309,15,14,0.0595744680851,0.000114705207616,17,13,0.0553191489362,0.000222663050079,33,27,0.114893617021,0.000371105083465,55,11,0.0468085106383,0.000107957842463,16,46,0.195744680851,0.000337368257695,50,6,0.0255319148936,6.74736515391e-05,10,69,0.293617021277,0.000560031307774,83,25,0.106382978723,0.000209168319771,31,21,0.0893617021277,0.000209168319771,31,7,0.0297872340426,6.07262863852e-05,9,5,0.0212765957447,3.37368257695e-05,5,27,0.114893617021,0.000222663050079,33,13,0.0553191489362,0.000128199937924,19,11,0.0468085106383,0.000114705207616,17,7,0.0297872340426,8.77157470008e-05,13,6,0.0255319148936,6.07262863852e-05,9
