Michael White,315,10094,162,6830
Dan Lepard,54,3590,58,1283
Roy Greenslade,1169,20899,581,34826
Charlotte Jones,15,225,5,197
Corrections,323,435,3,724
Jonathan Freedland,65,17555,237,5010
Luke Harding,169,35169,491,12937
Peter Beaumont,154,44474,654,13249
Chris Stephen,97,11441,136,5310
Dan Glaister,9,853,12,560
Jeevan Vasagar,206,42164,478,21000
Guardian Professional,107,33,4,131
Jo Adetunji,115,8584,163,5322
Owen Duffy,3,110,8,154
Ben Dowell,126,11742,184,6349
Gozde Zorlu,3,75,3,100
Keith Stuart,592,22706,809,34944
Adam Shelton,1,145,0,14
Kim Willsher,188,37247,575,10888
Owen Gibson,499,18693,266,16747
Henry Barnes,303,39558,338,9197
Chris Cook,347,1573,15,2542
Tony Paley,173,893,13,1374
Sarah Crown,109,9470,161,4018
Lizzy Davies,226,41536,432,16214
David Benady,2,14,0,22
Tim Jonze,114,30479,289,7373
Hugh Muir,237,5613,49,4504
Mark Sweney,810,62110,1066,46488
Monkey,596,11973,125,14930
Mike Selvey,122,2186,39,1110
Ben Child,541,83325,1205,25485
Ed Pilkington,293,145936,2023,29446
Mona Eltahawy,6,4762,57,764
Tim Lott,15,156,3,175
Patrick Wintour,747,103348,1462,59636
Nick Hopkins,223,32637,529,14115
Rupert Neate,248,16861,325,13143
Alexis Petridis,165,27510,273,7795
Associated Press,2691,270238,4643,97640
Miriam Elder,163,39386,893,12257
Juliette Garside,347,21334,881,29754
Martin Rowson,128,5402,133,3600
Rob Evans,104,14618,208,7576
Paul Lewis,129,54433,598,18075
Chris Harding,10,1802,20,449
Helen Seamons,69,1082,12,1234
Janine Gibson,7,481,9,372
Bella Mackie,179,646,10,712
José Pizarro,3,129,2,41
Jonathan Haynes,7,7833,90,1126
Sarah Boseley,250,40462,589,16636
Sid Lowe,149,16376,319,8844
Faisal Hanif,2,1079,4,69
Mike Averis,124,954,16,708
Paul Gallagher,8,2300,20,688
Catherine Shoard,195,26004,202,6227
Alexander Chancellor,26,1746,17,708
Phelim O'Neill,226,3771,41,2886
Zoe Williams,165,54566,599,15226
Louise Taylor,190,6538,68,5720
Simon Van Booy,1,2,0,7
Giles Tremlett,174,46149,777,14083
Paul Rees,370,3097,33,2318
Quentin Wheeler,31,1531,52,876
Tania Branigan,263,42211,1092,18444
Caspar Llewellyn Smith,84,40301,302,6636
Editorial,1050,49859,816,33707
Hilary Osborne,234,8558,196,9182
Simon Goodley,175,4076,97,4338
Sarah Pickup,1,9,2,20
Helen Carter,363,24423,301,11008
Phil Hogan,31,698,14,368
Seumas Milne,41,47973,318,8120
Peter Walker,304,64943,906,26311
Will Hayler,463,515,12,3154
Kira Cochrane,47,21133,134,3914
Justin McCurry,138,30449,488,10848
Thomas Hoblyn,10,62,0,213
Paul Lester,276,28367,181,8090
Ewan Murray,298,4186,24,4548
Hannah Fearn,102,621,19,1637
Becky Barnicoat,11,1647,27,576
Press Association,6343,209236,2715,151912
Sam Bacon,1,51,1,133
Matt Griffith,2,45,1,67
Jason Burke,185,29246,471,9766
Alok Jha,141,83904,2185,17801
Peter Kimpton,2,432,13,167
David Hearst,25,3500,60,998
Julian Borger,230,43731,599,15024
Viv Groskop,59,20322,52,2024
Patrick Butler,167,22248,294,12461
Laura Cumming,52,4203,72,1162
John Wright,23,6015,58,977
Hélène Mulholland,346,27276,367,16755
Jude Kelly,1,5,0,12
Euan Ferguson,50,4774,85,1629
Stephen Glaister,2,11,0,38
Open thread,196,8341,114,4985
Ian Black,246,36020,595,14718
Abdel Rahman Hussein,2,88,1,93
Martin Chulov,180,28194,422,12259
agencies,1458,207310,3259,85337
Jonathan Wright,121,291,1,1162
Gwilym Mumford,119,3094,60,1511
Ben Arnold,120,429,9,1219
Julia Raeside,177,3963,29,2396
Andrew Mueller,130,339,6,1372
Michel Faber,6,638,12,190
Dan Milmo,404,25087,346,16932
Agencies,453,30452,420,14207
Steven Morris,456,55110,640,18513
Elisabeth Mahoney,203,2249,20,2723
Felicity Carus,6,789,15,442
Jackie Ashley,45,3554,40,1826
Phil Maynard,33,5982,70,1291
Elliot Smith,127,23333,173,3919
Dan Sabbagh,405,28116,788,24297
Will Hutton,54,16836,297,5527
Felix Atkin,11,10,0,136
Ian Traynor,163,28820,646,10382
Tom Kington,197,46359,762,12131
Owen Bowcott,332,39759,632,19605
Jessica Smith,1,11,0,7
Jessica Shepherd,209,29676,250,18667
Felicity Lawrence,32,9889,91,3917
Dalya Alberge,67,12107,210,4484
Ben Strebel,2,1080,0,48
Michel Comte,1,1037,0,31
Jon Wilde,2,4721,56,286
Clare Brook for the <a href="http://www.guardian.co.uk/guardian-professional" title="">Guardian Professional Network</a>,1,1,0,13
Mark Lawson,97,6054,108,2884
Alison Flood,498,145691,2822,43692
Lisa O'Carroll,571,31471,888,32299
Nicholas Watt,606,61732,886,38675
Richard Norton-Taylor,259,28498,506,14217
John Vidal,221,76737,1009,25299
guardian.co.uk/music,30,29263,203,4123
Raphael Honigstein,47,3311,64,2181
Tom Hughes,14,93,2,205
Lucy Tobin,25,894,14,1156
Eddie Butler,87,1055,13,516
Michael Wolff,35,1526,127,3707
Matt Seaton,15,1386,27,873
Jane Martinson,93,11967,119,4369
Carlene Thomas-Bailey,21,1248,30,736
Mark Brown,226,32918,369,11240
Harriet Sherwood,257,100302,865,18846
Maya Jaggi,5,515,4,119
Phillip Inman,368,23154,429,12183
Katherine Stewart,8,8970,271,1117
<a href="https://twitter.com/#!/jquixano" title=""><em>Jordi Quixano</em></a><em>,1,102,7,51
</em><a href="http://deportes.elpais.com/" title=""><em>El País</em></a>,1,102,7,51
Andy Hunter,304,25499,174,14111
Jeffrey Sachs,5,671,14,437
Observer Sport staff,29,1018,4,759
Charles Arthur,775,69708,6317,112877
Paolo Bandini,187,5536,64,3980
Larry Elliott,452,56402,1188,23375
San Diego,1,128,4,16
Katharine Whitehorn,54,165,7,242
Matthew Fort,31,1392,12,410
Lutfur Rahman,2,146,0,51
The Guide,92,1256,8,424
Oliver Thring,66,14282,195,4394
Stuart James,206,8371,99,6691
Vanessa Thorpe,104,21109,317,7327
arts,36,6051,72,2155
Anonymous,57,1328,26,932
Nathan Brown,12,20,3,187
Chris Atkins,2,508,8,213
Mustafa Khalili,58,19158,107,3513
Josh Halliday,809,83406,2797,78989
Jill Treanor,598,29212,707,20394
Jason Deans,164,12428,198,6813
Martin Wainwright,575,30755,501,22153
Tom Holland,4,1442,16,269
Hadley Freeman,178,34702,367,10327
Ben Kape,60,19901,93,2026
Andy Gallagher,196,28153,203,5450
Ekaterina Ochagavia,32,8737,46,1132
Nick Fletcher,1019,4864,207,10583
Michael Hann,209,34891,187,5617
Haroon Siddique,201,37234,624,28417
Erica Jeal,26,220,6,247
Giulio Frigieri,22,4055,94,1545
Giles Richards,100,2667,34,1606
Caroline Boucher,1,48,0,27
The people's panel,49,1986,15,1665
Michael Cragg,275,51093,137,7875
David Mills,85,631,6,1617
Ryan Devereaux,90,32074,343,5960
Victoria Bekiempis,13,5211,115,821
Jason Farago,26,7951,83,840
Mark Rice-Oxley,19,2840,44,880
Caitlin Prentice,1,113,0,65
The Landlord,1,31,0,26
KamzKool,1,3,0,21
Ewen MacAskill,356,59412,895,15862
New Hampshire,10,525,15,299
Janice Gwilliam,9,43,1,268
Luke Jennings,66,3622,13,637
Symon Hill,4,1448,8,191
Isabel Choat,46,4749,55,2079
Alastair Lee,1,709,5,114
Georgia Brown,7,1537,9,296
Chris Cross &amp; Benji Lanyado,1,709,5,114
Jim Shelley,3,87,0,60
William Fotheringham,142,3324,73,2310
Fiona Maddocks,109,1771,22,946
Anna Tims,81,1520,18,1908
Dominic Fifield,425,19888,234,16362
Saman Shad,3,658,18,179
Andrew Gumbel,23,10289,91,1706
John Plunkett,527,33301,572,25417
Alex Slater,7,116,2,132
Dr Gerry Mander,36,62,1,79
Juliette Jowit,144,15810,391,13718
Carol Rumens,54,2745,52,1339
Ed Jacobs,49,586,11,976
Andy Wilson at DW Stadium,6,2,0,34
Saeed Kamali Dehghan,179,58579,816,15272
Matthew Whysall,10,1144,22,419
Alex Healey,74,11655,86,1980
Guy Grandjean,29,8570,56,1807
Rebecca Ratcliffe,20,3284,40,1408
Tim Groves,4,67,0,48
Fiona Harvey,252,54377,845,30566
Brian Logan,109,2618,27,1166
Simon Hoggart,193,3704,44,4109
Kate Hodge,310,799,27,4236
Jack Shenker,115,39584,338,8490
Paul Owen,183,50820,649,34326
Eva Wiseman,120,11735,216,3880
Guardian Healthcare,60,96,3,436
Lyn Gardner,370,10621,43,5729
Ian Livingstone,2,90,6,285
Rupert Sawyer,28,101,2,635
Gines Haro Pastor,165,591,9,2122
Helena Smith,212,38011,783,11898
Neil Spencer,52,11117,14,307
David Lengel,58,797,9,422
Virginia Wallis,100,129,10,1731
Robin,1,0,0,26
Laurence,1,0,0,26
Graham Alfred,1,0,0,26
Sue Marsh,8,3027,21,1677
Julia Kollewe,358,16118,350,16765
Rebecca Smithers,156,13738,199,9304
Adam Gabbatt,182,119199,1212,26408
ThePinkElephant,13,37,3,163
Lucy Mangan,143,6102,88,3526
Sara Ilyas,41,3245,23,966
Leon Kaye for the <a href="http://www.guardian.co.uk/guardian-professional" title="Guardian Professional Network">Guardian Professional Network</a>,21,1051,34,782
Rupert Jones,106,2563,62,3653
Miles Brignall,190,2831,110,4721
Graham Snowdon,72,5817,93,2924
Laura Laker,17,3529,79,2012
Graeme Wearden,251,30472,603,22259
Sol Campbell,10,543,15,656
Caroline Davies,198,60069,1321,21562
ilovepercyjacksonbooks,3,20,0,23
Nour Ali,43,5552,59,3418
Esther Addley,120,23989,417,8540
Laura Marcus,5,348,5,275
Alex Hawkes,175,8058,74,5425
Clare Brennan,46,661,8,246
John Sentamu,2,638,6,440
Angelique Chrisafis,244,51989,840,15249
Tim Glanfield,13,9,0,387
Nesrine Malik,15,3336,26,714
Kenshin,1,0,0,11
Richard Luscombe,49,9149,229,1922
Simon Bowers,222,6504,109,6098
Maxie Szalwinska,1,28,0,24
David Barnett,25,5317,125,1668
Dominic Rushe,475,87056,2188,38065
Guardian Fashion,79,4379,21,2126
Jill Insley,275,7989,115,8805
Marcus Christenson,71,7754,101,2668
Eliza Anyangwe,125,2416,130,5314
Michael Billington,279,10255,67,4232
Presented by Claire Armitstead,44,1642,29,1362
produced by Tim Maby,56,1967,42,1700
Stuart Dredge,481,12726,1395,45793
Tom Meltzer,90,11744,181,3778
Marcel Theroux,6,1799,19,342
Suemay Oram,1,22,0,8
Michèle Tribalat,1,82,4,30
Gérard Mauger,1,82,4,30
Claire Donnelly,2,68,0,17
Dan Gillmor,52,6920,963,6900
Jessica Holland,9,417,5,52
Michael Cox,44,2113,38,2463
Daniel Riemer,4,791,3,73
Becky Barnicoat. Portrait by <a href="http://emilystein.co.uk" title="">Emily Stein</a>,6,172,0,55
Severin Carrell,301,28989,399,13693
