year,month,week,name,articles,facebook,googleplus,twitter
2012,1,5,George Bouras,2,16,0,24
2012,1,5,Patrick Wintour,17,910,5,830
2012,1,5,Damian Carrington,6,986,20,1091
2012,1,5,Randeep Ramesh,9,1014,21,761
2012,1,5,Leo Hickman,3,441,17,590
2012,1,5,Peter Walker,11,2074,15,828
2012,1,5,Severin Carrell,10,460,9,373
2012,1,5,Angela Hartnett,4,24,0,27
2012,1,5,Presented by Alok Jha,1,18,0,14
2012,1,5,produced by Jason Phipps,1,18,0,14
2012,1,5,Sarah Boseley,5,2481,39,478
2012,1,5,Press Association,116,1582,44,2495
2012,1,5,Jackie Ashley,1,76,1,40
2012,1,5,Agencies,7,34,2,116
2012,1,5,Steve Busfield,4,52,1,48
2012,1,5,Associated Press,59,3600,74,2138
2012,1,5,Ben Quinn,6,359,5,501
2012,1,5,Tom Kington,3,167,5,137
2012,1,5,Reuters,34,603,15,933
2012,1,5,Michael Solomon,2,130,2,68
2012,1,5,Kevin Mitchell at Melbourne Park,14,266,2,172
2012,1,5,Sally Higham,1,14,0,33
2012,1,5,Harriet Sherwood,5,2318,24,525
2012,1,5,Mat Heywood,1,1217,9,199
2012,1,5,Mustafa Khalili,1,1217,9,199
2012,1,5,Rajeev Syal,7,788,9,606
2012,1,5,Graham Snowdon,2,52,0,53
2012,1,5,Rachel Holmes,2,320,1,67
2012,1,5,Juliet Jacques,1,81,3,43
2012,1,5,David McNair,1,82,3,43
2012,1,5,Caroline Davies,1,65,3,34
2012,1,5,Sarah Hartley,2,5,0,42
2012,1,5,Keith Stuart,12,123,1,617
2012,1,5,Fiona Reynolds,1,56,0,63
2012,1,5,Pollyanna Perkins,1,6,0,40
2012,1,5,John Plunkett,3,79,1,131
2012,1,5,Mark Sweney,24,625,49,1652
2012,1,5,Joris Luyendijk,2,101,7,99
2012,1,5,Rebecca Birkbeck,1,12,0,39
2012,1,5,GrrlScientist,7,154,81,143
2012,1,5,Lizzy Davies,6,2502,17,652
2012,1,5,Roy Greenslade,19,658,18,1116
2012,1,5,Jacob Steinberg,2,103,2,100
2012,1,5,Rob Smyth,1,22,0,27
2012,1,5,Ian McCourt,1,22,0,27
2012,1,5,Josh Halliday,15,992,54,1571
2012,1,5,Charles Arthur,20,1481,149,3215
2012,1,5,Saeed Shah,1,13,0,20
2012,1,5,Paul Dix,1,21,0,21
2012,1,5,Garath Symonds,1,2,0,8
2012,1,5,Robert Van-Loo,1,1,0,5
2012,1,5,Stewart Fergusson,1,3,0,8
2012,1,5,Oliver Laughland,2,479,20,269
2012,1,5,Andy Gallagher,5,618,15,218
2012,1,5,Richard Sprenger,4,544,14,162
2012,1,5,Mark Redding,1,2,0,7
2012,1,5,Sugar,1,0,0,17
2012,1,5,Les Roopanarine,2,44,1,45
2012,1,5,Barry Glendenning,5,219,5,182
2012,1,5,Nick Fletcher,22,5,0,59
2012,1,5,Ciara Leeming,1,20,0,29
2012,1,5,Sam Jones,8,577,11,299
2012,1,5,Frédéric Filloux,1,158,18,365
2012,1,5,Jessica Reed,2,0,0,2
2012,1,5,Aseem Malhotra,1,304,0,187
2012,1,5,Mark Smith,1,2,0,15
2012,1,5,James Ramsden,1,215,2,70
2012,1,5,Gines Haro Pastor,5,21,1,113
2012,1,5,Sean Michaels,8,867,6,291
2012,1,5,Ian Traynor,7,1696,32,595
2012,1,5,Polly Curtis,6,182,4,215
2012,1,5,Stuart Dredge,5,39,1,319
2012,1,5,Brendan Sarsfield,1,0,2,11
2012,1,5,Carol Rumens,1,57,3,35
2012,1,5,Jeevan Vasagar,3,994,9,457
2012,1,5,Martin Williams,1,899,7,330
2012,1,5,Afshan Jafar for <a href="http://uvenus.org/" title="">University of Venus</a>,1,33,0,21
2012,1,5,Kate Hodge,7,10,0,44
2012,1,5,Jean-Louis Gassée,1,0,1,82
2012,1,5,Jo Best,4,6,4,41
2012,1,5,Michael Cox,1,37,0,67
2012,1,5,Greg Wood,7,7,0,36
2012,1,5,Tony Paley,6,6,0,34
2012,1,5,Chris Cook,8,5,0,51
2012,1,5,Ben Child,10,860,8,361
2012,1,5,agencies,28,2763,100,2053
2012,1,5,Paul Owen,2,100,1,182
2012,1,5,Hannah Freeman,4,34,1,100
2012,1,5,SABMiller,1,4,0,8
2012,1,5,By Costi Perricos,1,1,0,14
