year,month,week,name,articles,facebook,googleplus,twitter
2011,12,50,Helen Clifton,11,286,4,46
2011,12,50,Paul Lewis,20,7138,34,1604
2011,12,50,Tim Newburn,11,2951,15,698
2011,12,50,Matthew Taylor,9,3241,19,826
2011,12,50,James Ball,11,3344,28,1505
2011,12,50,Helen Carter,19,185,2,130
2011,12,50,Andrew Sparrow,7,176,0,391
2011,12,50,Jessica Shepherd,1,567,4,279
2011,12,50,Presented by Alok Jha,1,13,1,47
2011,12,50,produced by Jason Phipps,2,52,1,67
2011,12,50,with Robin McKie,1,13,1,47
2011,12,50,Duncan Clark,4,80,9,255
2011,12,50,Roy Greenslade,31,533,20,1174
2011,12,50,Gary Younge,4,2971,30,285
2011,12,50,Sam Jones,3,201,0,138
2011,12,50,Raekha Prasad,10,1016,18,255
2011,12,50,Associated Press,50,9877,105,2046
2011,12,50,Paolo Bandini,6,94,3,89
2011,12,50,Nancy Groves,2,7,1,9
2011,12,50,Lawrence Donegan,9,50,0,128
2011,12,50,Reuters,47,6419,47,1452
2011,12,50,Matthew Wright,1,341,2,52
2011,12,50,Lisa Henshaw,1,13,1,16
2011,12,50,Simon Rogers,12,2185,63,1439
2011,12,50,Claire Provost,1,210,1,29
2011,12,50,Sara Afshar,2,1987,6,106
2011,12,50,Christian Bennett,2,1987,6,106
2011,12,50,Luisa Miller,7,2191,7,252
2011,12,50,Sarah O'Connell,6,2123,7,209
2011,12,50,Cameron Robertson,8,2214,7,263
2011,12,50,Elliot Smith,7,4679,10,331
2011,12,50,Sarah Hartley,1,1,0,13
2011,12,50,Keith Stuart,14,1088,26,1122
2011,12,50,Mark Sweney,22,914,14,929
2011,12,50,John Vidal,25,4709,58,2227
2011,12,50,Stuart Dredge,10,208,17,733
2011,12,50,GrrlScientist,20,197,24,314
2011,12,50,Tracey Caldwell,3,24,1,30
2011,12,50,Kevin Hayes,1,30,0,27
2011,12,50,Jonathan Jones,15,2289,21,438
2011,12,50,Kenny Pieper,1,62,4,70
2011,12,50,Nick Fletcher,20,97,0,184
2011,12,50,Nick Cowen,2,115,2,172
2011,12,50,Alan Gardner,1,18,2,22
2011,12,50,Gregg Roughley,2,25,2,26
2011,12,50,Penny Woods,1,18,2,22
2011,12,50,Daniel Taylor at the Etihad Stadium,2,26,0,32
2011,12,50,Martha Lane Fox,1,19,0,30
2011,12,50,Duncan Jefferies,1,7,1,10
2011,12,50,Justin McCurry,4,4629,54,789
2011,12,50,Tom Lutz,3,128,0,83
2011,12,50,Jessica Reed,2,249,3,92
2011,12,50,Andy Gallagher,4,362,1,88
2011,12,50,Richard Sprenger,4,395,0,113
