@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,115,9,74,11,0.0958,0.7873,0.1171
2/1987,74,7,36,7,0.1400,0.7200,0.1400
3/1987,108,10,68,13,0.1099,0.7473,0.1429
4/1987,96,12,54,10,0.1579,0.7106,0.1316
5/1987,99,12,57,7,0.1579,0.7500,0.0922
6/1987,86,13,44,14,0.1831,0.6198,0.1972
7/1987,59,3,41,7,0.0589,0.8040,0.1373
8/1987,100,12,77,5,0.1277,0.8192,0.0532
9/1987,115,16,69,9,0.1703,0.7341,0.0958
10/1987,107,14,60,15,0.1574,0.6742,0.1686
11/1987,114,21,63,16,0.2100,0.6300,0.1600
12/1987,121,18,73,16,0.1683,0.6823,0.1496
1/1988,137,21,87,10,0.1780,0.7373,0.0848
2/1988,102,10,56,15,0.1235,0.6914,0.1852
3/1988,125,19,79,10,0.1760,0.7315,0.0926
4/1988,119,18,67,15,0.1800,0.6700,0.1500
5/1988,100,22,51,13,0.2559,0.5931,0.1512
6/1988,92,10,53,15,0.1283,0.6795,0.1924
7/1988,74,10,44,6,0.1667,0.7334,0.1000
8/1988,105,15,62,9,0.1745,0.7210,0.1047
9/1988,116,13,72,13,0.1327,0.7347,0.1327
10/1988,89,10,55,13,0.1283,0.7052,0.1667
11/1988,123,17,69,24,0.1546,0.6273,0.2182
12/1988,127,12,75,16,0.1166,0.7282,0.1554
1/1989,127,15,76,21,0.1340,0.6786,0.1875
2/1989,106,8,60,16,0.0953,0.7143,0.1905
3/1989,142,21,85,15,0.1736,0.7025,0.1240
4/1989,185,21,107,20,0.1419,0.7230,0.1352
5/1989,149,21,88,19,0.1641,0.6875,0.1485
6/1989,115,9,78,12,0.0910,0.7879,0.1213
7/1989,87,10,55,10,0.1334,0.7334,0.1334
8/1989,124,11,74,16,0.1090,0.7327,0.1585
9/1989,118,12,76,13,0.1189,0.7525,0.1288
10/1989,122,17,71,14,0.1667,0.6961,0.1373
11/1989,136,23,82,17,0.1886,0.6722,0.1394
12/1989,99,15,51,18,0.1786,0.6072,0.2143
1/1990,128,25,71,16,0.2233,0.6340,0.1429
2/1990,106,13,65,10,0.1478,0.7387,0.1137
3/1990,127,16,75,18,0.1468,0.6881,0.1652
4/1990,111,16,58,17,0.1759,0.6374,0.1869
5/1990,94,10,55,12,0.1299,0.7143,0.1559
6/1990,121,11,68,18,0.1135,0.7011,0.1856
7/1990,75,9,45,11,0.1385,0.6924,0.1693
8/1990,65,9,36,10,0.1637,0.6546,0.1819
9/1990,97,18,46,15,0.2279,0.5823,0.1899
10/1990,105,14,68,13,0.1474,0.7158,0.1369
11/1990,97,9,68,10,0.1035,0.7817,0.1150
12/1990,109,11,80,12,0.1068,0.7767,0.1166
1/1991,133,20,76,20,0.1725,0.6552,0.1725
2/1991,98,20,56,13,0.2248,0.6293,0.1461
3/1991,105,16,54,15,0.1883,0.6353,0.1765
4/1991,128,17,77,19,0.1505,0.6815,0.1682
5/1991,83,8,50,16,0.1082,0.6757,0.2163
6/1991,87,13,55,11,0.1646,0.6963,0.1393
7/1991,64,8,39,7,0.1482,0.7223,0.1297
8/1991,70,6,34,18,0.1035,0.5863,0.3104
9/1991,78,14,41,19,0.1892,0.5541,0.2568
10/1991,73,5,46,13,0.0782,0.7188,0.2032
11/1991,97,10,56,19,0.1177,0.6589,0.2236
12/1991,69,12,37,12,0.1968,0.6066,0.1968
1/1992,95,16,49,18,0.1928,0.5904,0.2169
2/1992,78,8,45,17,0.1143,0.6429,0.2429
3/1992,103,13,61,16,0.1445,0.6778,0.1778
4/1992,111,14,69,17,0.1400,0.6900,0.1700
5/1992,95,14,60,16,0.1556,0.6667,0.1778
6/1992,100,18,61,11,0.2000,0.6778,0.1223
7/1992,53,6,31,11,0.1250,0.6459,0.2292
8/1992,71,10,44,7,0.1640,0.7214,0.1148
9/1992,84,18,41,12,0.2536,0.5775,0.1691
10/1992,79,15,38,15,0.2206,0.5589,0.2206
11/1992,79,13,43,17,0.1781,0.5891,0.2329
12/1992,109,7,76,18,0.0694,0.7525,0.1783
1/1993,121,18,85,12,0.1566,0.7392,0.1044
2/1993,108,18,56,23,0.1856,0.5774,0.2372
3/1993,73,11,44,11,0.1667,0.6667,0.1667
4/1993,100,14,61,16,0.1539,0.6704,0.1759
5/1993,98,16,51,20,0.1840,0.5863,0.2299
6/1993,101,22,54,14,0.2445,0.6000,0.1556
7/1993,86,13,49,12,0.1757,0.6622,0.1622
8/1993,97,9,64,11,0.1072,0.7620,0.1310
9/1993,114,20,65,17,0.1961,0.6373,0.1667
10/1993,84,15,45,15,0.2000,0.6000,0.2000
11/1993,113,18,58,22,0.1837,0.5919,0.2245
12/1993,95,13,48,26,0.1495,0.5518,0.2989
