@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,318,34,200,24,0.1318,0.7752,0.0931
2/1987,366,42,221,35,0.1410,0.7417,0.1175
3/1987,393,48,231,43,0.1491,0.7174,0.1336
4/1987,336,37,202,37,0.1341,0.7319,0.1341
5/1987,363,32,203,45,0.1143,0.7250,0.1608
6/1987,325,34,213,19,0.1279,0.8008,0.0715
7/1987,329,34,208,21,0.1293,0.7909,0.0799
8/1987,368,37,237,28,0.1226,0.7848,0.0928
9/1987,334,29,206,24,0.1120,0.7954,0.0927
10/1987,350,45,223,29,0.1516,0.7509,0.0977
11/1987,344,74,182,26,0.2625,0.6454,0.0922
12/1987,377,48,237,36,0.1496,0.7384,0.1122
1/1988,333,45,190,38,0.1649,0.6960,0.1392
2/1988,298,40,172,29,0.1660,0.7137,0.1204
3/1988,364,54,207,30,0.1856,0.7114,0.1031
4/1988,295,28,173,31,0.1207,0.7457,0.1337
5/1988,353,42,195,42,0.1506,0.6990,0.1506
6/1988,325,39,199,27,0.1472,0.7510,0.1019
7/1988,317,25,191,33,0.1005,0.7671,0.1326
8/1988,331,35,200,26,0.1341,0.7663,0.0997
9/1988,333,30,226,28,0.1057,0.7958,0.0986
10/1988,346,46,210,29,0.1615,0.7369,0.1018
11/1988,327,43,190,22,0.1687,0.7451,0.0863
12/1988,343,34,208,27,0.1264,0.7733,0.1004
1/1989,334,35,200,29,0.1326,0.7576,0.1099
2/1989,301,37,170,32,0.1549,0.7113,0.1339
3/1989,370,32,220,31,0.1131,0.7774,0.1096
4/1989,306,39,194,17,0.1560,0.7760,0.0680
5/1989,311,29,201,28,0.1125,0.7791,0.1086
6/1989,289,22,192,26,0.0917,0.8000,0.1084
7/1989,277,35,160,24,0.1599,0.7306,0.1096
8/1989,298,35,174,25,0.1496,0.7436,0.1069
9/1989,271,26,172,32,0.1131,0.7479,0.1392
10/1989,278,22,162,31,0.1024,0.7535,0.1442
11/1989,281,34,160,24,0.1560,0.7340,0.1101
12/1989,281,39,157,25,0.1765,0.7105,0.1132
1/1990,278,35,166,31,0.1509,0.7156,0.1337
2/1990,247,41,132,22,0.2103,0.6770,0.1129
3/1990,298,27,195,22,0.1107,0.7992,0.0902
4/1990,281,33,167,37,0.1393,0.7047,0.1562
5/1990,290,24,177,31,0.1035,0.7630,0.1337
6/1990,272,41,136,33,0.1953,0.6477,0.1572
7/1990,263,24,167,25,0.1112,0.7732,0.1158
8/1990,267,27,155,31,0.1268,0.7277,0.1456
9/1990,240,20,141,36,0.1016,0.7158,0.1828
10/1990,275,29,175,25,0.1267,0.7642,0.1092
11/1990,245,35,127,36,0.1768,0.6415,0.1819
12/1990,307,51,175,39,0.1925,0.6604,0.1472
1/1991,286,35,156,40,0.1516,0.6754,0.1732
2/1991,279,23,184,26,0.0988,0.7897,0.1116
3/1991,296,40,175,29,0.1640,0.7173,0.1189
4/1991,328,29,189,34,0.1151,0.7500,0.1350
5/1991,292,29,186,32,0.1175,0.7531,0.1296
6/1991,324,28,203,38,0.1041,0.7547,0.1413
7/1991,308,37,187,29,0.1463,0.7392,0.1147
8/1991,269,22,174,23,0.1005,0.7946,0.1051
9/1991,247,42,146,27,0.1954,0.6791,0.1256
10/1991,287,28,195,25,0.1130,0.7863,0.1009
11/1991,300,32,191,39,0.1222,0.7291,0.1489
12/1991,244,31,169,17,0.1429,0.7789,0.0784
1/1992,296,26,190,39,0.1020,0.7451,0.1530
2/1992,249,29,166,23,0.1331,0.7615,0.1056
3/1992,268,28,167,33,0.1229,0.7325,0.1448
4/1992,247,13,174,24,0.0617,0.8247,0.1138
5/1992,237,29,129,34,0.1511,0.6719,0.1771
6/1992,249,31,160,18,0.1484,0.7656,0.0862
7/1992,242,34,146,26,0.1651,0.7088,0.1263
8/1992,221,19,145,19,0.1039,0.7924,0.1039
9/1992,222,21,149,18,0.1118,0.7926,0.0958
10/1992,228,33,133,23,0.1747,0.7038,0.1217
11/1992,240,34,153,30,0.1567,0.7051,0.1383
12/1992,284,38,179,29,0.1545,0.7277,0.1179
1/1993,307,39,203,29,0.1440,0.7491,0.1071
2/1993,310,31,207,33,0.1144,0.7639,0.1218
3/1993,338,41,219,43,0.1354,0.7228,0.1420
4/1993,269,32,182,28,0.1323,0.7521,0.1158
5/1993,282,35,175,42,0.1389,0.6945,0.1667
6/1993,274,35,180,25,0.1459,0.7500,0.1042
7/1993,268,26,182,31,0.1088,0.7616,0.1298
8/1993,293,32,194,36,0.1222,0.7405,0.1375
9/1993,312,44,204,34,0.1561,0.7235,0.1206
10/1993,281,42,173,36,0.1674,0.6893,0.1435
11/1993,299,43,189,32,0.1629,0.7160,0.1213
12/1993,295,34,198,33,0.1284,0.7472,0.1246
1/1994,266,21,181,37,0.0879,0.7574,0.1549
2/1994,284,43,180,31,0.1693,0.7087,0.1221
3/1994,322,35,225,31,0.1203,0.7732,0.1066
4/1994,291,32,190,38,0.1231,0.7308,0.1462
5/1994,294,43,183,32,0.1667,0.7094,0.1241
6/1994,292,25,199,34,0.0969,0.7714,0.1318
7/1994,338,35,217,41,0.1195,0.7407,0.1400
8/1994,338,23,243,34,0.0767,0.8100,0.1134
9/1994,257,40,173,19,0.1725,0.7457,0.0819
10/1994,286,36,186,22,0.1476,0.7623,0.0902
11/1994,258,28,166,29,0.1256,0.7444,0.1301
12/1994,238,27,163,21,0.1280,0.7726,0.0996
1/1995,242,35,144,27,0.1700,0.6991,0.1311
2/1995,253,25,167,25,0.1153,0.7696,0.1153
3/1995,252,30,155,34,0.1370,0.7078,0.1553
4/1995,224,17,142,26,0.0919,0.7676,0.1406
5/1995,268,39,161,31,0.1689,0.6970,0.1342
6/1995,233,28,137,27,0.1459,0.7136,0.1407
7/1995,253,43,150,25,0.1973,0.6881,0.1147
8/1995,213,24,140,18,0.1319,0.7693,0.0990
9/1995,216,22,131,33,0.1183,0.7044,0.1775
10/1995,338,48,184,45,0.1733,0.6643,0.1625
11/1995,266,40,135,27,0.1981,0.6684,0.1337
12/1995,314,38,180,38,0.1485,0.7032,0.1485
1/1996,276,38,160,27,0.1689,0.7112,0.1200
2/1996,271,46,143,31,0.2091,0.6500,0.1410
3/1996,295,41,162,42,0.1674,0.6613,0.1715
4/1996,325,42,175,30,0.1701,0.7086,0.1215
5/1996,303,34,175,33,0.1405,0.7232,0.1364
6/1996,255,29,141,29,0.1458,0.7086,0.1458
7/1996,284,41,152,34,0.1807,0.6697,0.1498
8/1996,209,29,126,23,0.1630,0.7079,0.1293
9/1996,229,31,135,25,0.1624,0.7069,0.1309
10/1996,230,30,144,28,0.1486,0.7129,0.1387
11/1996,230,34,138,24,0.1735,0.7041,0.1225
12/1996,224,26,133,36,0.1334,0.6821,0.1847
1/1997,221,20,148,25,0.1037,0.7669,0.1296
2/1997,205,31,126,26,0.1694,0.6886,0.1421
3/1997,270,40,147,39,0.1770,0.6505,0.1726
4/1997,255,40,152,35,0.1763,0.6697,0.1542
5/1997,213,29,124,25,0.1630,0.6967,0.1405
6/1997,264,60,144,24,0.2632,0.6316,0.1053
7/1997,288,40,174,39,0.1582,0.6878,0.1542
8/1997,250,40,138,28,0.1942,0.6700,0.1360
9/1997,236,33,128,34,0.1693,0.6565,0.1744
10/1997,240,31,140,33,0.1520,0.6863,0.1618
11/1997,247,39,142,32,0.1831,0.6667,0.1503
12/1997,253,35,143,37,0.1628,0.6652,0.1721
1/1998,259,32,155,39,0.1416,0.6859,0.1726
2/1998,243,39,154,24,0.1798,0.7097,0.1106
3/1998,269,35,148,43,0.1549,0.6549,0.1903
4/1998,227,30,117,38,0.1622,0.6325,0.2055
5/1998,250,42,149,29,0.1910,0.6773,0.1319
6/1998,257,56,118,32,0.2719,0.5729,0.1554
7/1998,255,31,151,34,0.1436,0.6991,0.1575
8/1998,220,33,124,37,0.1702,0.6392,0.1908
9/1998,204,26,116,27,0.1539,0.6864,0.1598
10/1998,266,36,159,32,0.1586,0.7005,0.1410
11/1998,295,49,159,42,0.1960,0.6360,0.1680
12/1998,249,40,132,38,0.1905,0.6286,0.1810
1/1999,297,44,181,37,0.1680,0.6909,0.1413
2/1999,245,43,140,31,0.2010,0.6543,0.1449
3/1999,277,43,162,34,0.1800,0.6779,0.1423
4/1999,277,36,160,43,0.1507,0.6695,0.1800
5/1999,235,38,135,27,0.1900,0.6750,0.1350
6/1999,307,53,160,47,0.2039,0.6154,0.1808
7/1999,271,49,146,29,0.2188,0.6518,0.1295
8/1999,237,46,138,22,0.2234,0.6700,0.1068
9/1999,286,49,157,36,0.2025,0.6488,0.1488
10/1999,307,45,181,45,0.1661,0.6679,0.1661
11/1999,284,40,161,39,0.1667,0.6709,0.1625
12/1999,263,31,150,45,0.1372,0.6638,0.1992
1/2000,242,28,145,35,0.1347,0.6972,0.1683
2/2000,264,36,151,43,0.1566,0.6566,0.1870
3/2000,270,34,170,27,0.1472,0.7360,0.1169
4/2000,298,31,171,48,0.1240,0.6840,0.1920
5/2000,246,25,139,35,0.1257,0.6985,0.1759
6/2000,310,50,174,37,0.1916,0.6667,0.1418
7/2000,299,38,170,39,0.1539,0.6883,0.1579
8/2000,303,38,176,38,0.1508,0.6985,0.1508
9/2000,296,40,167,39,0.1627,0.6789,0.1586
10/2000,282,32,169,30,0.1386,0.7317,0.1299
11/2000,238,35,129,34,0.1768,0.6516,0.1718
12/2000,239,26,128,43,0.1320,0.6498,0.2183
1/2001,250,37,132,29,0.1869,0.6667,0.1465
2/2001,295,39,169,36,0.1599,0.6927,0.1476
3/2001,486,48,312,66,0.1127,0.7324,0.1550
4/2001,409,60,254,52,0.1640,0.6940,0.1421
5/2001,461,53,285,55,0.1349,0.7252,0.1400
6/2001,461,55,280,62,0.1386,0.7053,0.1562
7/2001,395,44,242,44,0.1334,0.7334,0.1334
8/2001,389,50,247,40,0.1484,0.7330,0.1187
9/2001,302,45,172,43,0.1731,0.6616,0.1654
10/2001,487,52,308,54,0.1257,0.7440,0.1305
11/2001,401,58,222,59,0.1711,0.6549,0.1741
12/2001,401,45,247,45,0.1336,0.7330,0.1336
1/2002,392,41,248,54,0.1196,0.7231,0.1575
2/2002,395,60,228,48,0.1786,0.6786,0.1429
3/2002,388,51,228,47,0.1565,0.6994,0.1442
4/2002,364,44,221,42,0.1434,0.7199,0.1369
5/2002,354,55,199,36,0.1897,0.6863,0.1242
6/2002,376,79,187,46,0.2533,0.5994,0.1475
7/2002,400,64,217,41,0.1988,0.6740,0.1274
8/2002,336,47,195,47,0.1627,0.6748,0.1627
9/2002,327,56,181,32,0.2082,0.6729,0.1190
10/2002,367,55,218,31,0.1810,0.7172,0.1020
11/2002,339,44,206,44,0.1497,0.7007,0.1497
12/2002,367,41,203,43,0.1429,0.7074,0.1499
1/2003,375,58,213,39,0.1871,0.6871,0.1259
2/2003,395,53,251,42,0.1532,0.7255,0.1214
3/2003,404,53,239,42,0.1587,0.7156,0.1258
4/2003,458,53,285,43,0.1392,0.7481,0.1129
5/2003,446,56,280,55,0.1433,0.7162,0.1407
6/2003,424,75,237,50,0.2072,0.6547,0.1382
7/2003,407,55,234,49,0.1628,0.6924,0.1450
8/2003,310,46,179,31,0.1797,0.6993,0.1211
9/2003,382,64,215,44,0.1982,0.6657,0.1363
10/2003,410,62,248,52,0.1713,0.6851,0.1437
11/2003,469,55,280,56,0.1407,0.7162,0.1433
12/2003,450,52,277,51,0.1369,0.7290,0.1343
1/2004,435,50,276,45,0.1348,0.7440,0.1213
2/2004,414,72,226,62,0.2000,0.6278,0.1723
3/2004,437,66,262,47,0.1760,0.6987,0.1254
4/2004,341,58,188,43,0.2007,0.6506,0.1488
5/2004,358,72,189,46,0.2346,0.6157,0.1499
6/2004,393,82,203,57,0.2398,0.5936,0.1667
7/2004,384,67,207,49,0.2075,0.6409,0.1518
8/2004,320,52,177,44,0.1905,0.6484,0.1612
9/2004,350,41,221,43,0.1345,0.7246,0.1410
10/2004,383,51,223,47,0.1589,0.6948,0.1465
11/2004,367,42,225,47,0.1338,0.7166,0.1497
12/2004,398,60,231,40,0.1813,0.6979,0.1209
1/2005,363,53,212,46,0.1705,0.6817,0.1480
2/2005,369,46,234,45,0.1416,0.7200,0.1385
3/2005,500,64,306,72,0.1448,0.6924,0.1629
4/2005,379,52,221,48,0.1620,0.6885,0.1496
5/2005,326,42,196,53,0.1444,0.6736,0.1822
6/2005,301,49,170,39,0.1900,0.6590,0.1512
7/2005,276,31,174,43,0.1250,0.7017,0.1734
8/2005,302,51,175,34,0.1962,0.6731,0.1308
9/2005,240,37,140,31,0.1779,0.6731,0.1491
10/2005,292,41,157,43,0.1702,0.6515,0.1785
11/2005,322,61,168,41,0.2260,0.6223,0.1519
12/2005,287,54,160,30,0.2214,0.6558,0.1230
1/2006,337,57,205,43,0.1869,0.6722,0.1410
2/2006,315,47,181,39,0.1761,0.6780,0.1461
3/2006,318,47,190,41,0.1691,0.6835,0.1475
4/2006,338,50,192,36,0.1799,0.6907,0.1295
5/2006,352,53,195,48,0.1791,0.6588,0.1622
6/2006,346,60,204,36,0.2000,0.6800,0.1200
7/2006,332,33,223,29,0.1158,0.7825,0.1018
8/2006,340,48,214,32,0.1633,0.7279,0.1089
9/2006,335,59,169,49,0.2130,0.6102,0.1769
10/2006,346,53,194,46,0.1809,0.6622,0.1570
11/2006,344,56,189,52,0.1886,0.6364,0.1751
12/2006,396,66,221,46,0.1982,0.6637,0.1382
1/2007,358,55,194,44,0.1878,0.6622,0.1502
2/2007,368,50,225,41,0.1583,0.7121,0.1298
3/2007,415,74,238,44,0.2079,0.6686,0.1236
4/2007,388,61,230,45,0.1816,0.6846,0.1340
5/2007,419,70,234,49,0.1984,0.6629,0.1389
6/2007,256,37,143,29,0.1771,0.6843,0.1388
